vihaan@Vihaans-MacBook-Pro validation % source .venv/bin/activate
(.venv) vihaan@Vihaans-MacBook-Pro validation % python run_all.py --model cohere

=== backend: cohere — screening + extraction in parallel ===
[run_all] start: /Users/vihaan/ReviewAid_Validation_v3.0.0/validation/.venv/bin/python 02_run_screening.py --model cohere
[run_all] start: /Users/vihaan/ReviewAid_Validation_v3.0.0/validation/.venv/bin/python 03_run_extraction.py --model cohere
[corpus] 1968 papers with PDF + criteria (731 included)
[cohere] keys:
  ...knbX: 11/1000 calls, exhausted=False
  ...Q2To: 13/1000 calls, exhausted=False
  ...NtX6: 10/1000 calls, exhausted=False
  ...sJ8t: 10/1000 calls, exhausted=False
  ...IxtD: 9/1000 calls, exhausted=False
  ...jnq5: 14/1000 calls, exhausted=False
  ...OlCf: 8/1000 calls, exhausted=False
[extraction] 2184 articles ready
[cohere] 2184 to extract (Cohere / command-a-03-2025)
[cohere] 51/2184 PMC2212351: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (4.14s)
[cohere] CD000031-bib-0152: include conf=0.33 tier=tier1_override OVERRIDE (5.89s)
[cohere] 52/2184 PMC2223531: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=1 (4.07s)
[cohere] CD000031-bib-0161: include conf=0.33 tier=tier1_override OVERRIDE (4.6s)
[cohere] 53/2184 PMC2211287: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (9.37s)
[cohere] CD000031-bib-0156: include conf=0.33 tier=tier1_override OVERRIDE (7.31s)
[cohere] 54/2184 PMC2228375: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (5.68s)
[cohere] 55/2184 PMC2249589: conf=0.95 tier=tier2_llm_selfassess ungrounded_fields=0 (4.46s)
[cohere] CD000031-bib-0163: include conf=0.25 tier=tier1_override OVERRIDE (5.15s)
[cohere] CD000031-bib-0164: include conf=0.17 tier=tier1_override OVERRIDE (4.08s)
[cohere] CD000031-bib-0165: include conf=0.42 tier=tier1_override OVERRIDE (6.18s)
[cohere] 56/2184 PMC2253708: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (6.34s)
[cohere] 57/2184 PMC2291328: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (4.72s)
[cohere] CD000031-bib-0166: include conf=0.42 tier=tier1_override OVERRIDE (4.48s)
[cohere] CD000031-bib-0167: include conf=0.17 tier=tier1_override OVERRIDE (4.26s)
[cohere] 58/2184 PMC2277487: conf=0.95 tier=tier2_llm_selfassess ungrounded_fields=0 (5.57s)
[cohere] CD000031-bib-0169: include conf=0.33 tier=tier1_override OVERRIDE (4.77s)
[cohere] CD000031-bib-0170: include conf=0.33 tier=tier1_override OVERRIDE (4.48s)
[cohere] 59/2184 PMC2291568: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (6.33s)
[cohere] 60/2184 PMC2360030: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (8.15s)
[cohere] CD000031-bib-0171: include conf=0.42 tier=tier1_override OVERRIDE (28.46s)
[cohere] 61/2184 PMC2360567: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (28.83s)
[cohere] CD000031-bib-0178: include conf=0.42 tier=tier1_override OVERRIDE (3.83s)
[cohere] CD000031-bib-0173: include conf=0.42 tier=tier1_override OVERRIDE (28.67s)
[cohere] 62/2184 PMC2361515: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (29.18s)
[cohere] 63/2184 PMC2361654: conf=0.3 tier=tier1_override ungrounded_fields=0 (6.24s)
[cohere] 64/2184 PMC2361520: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (28.7s)
[cohere] 65/2184 PMC2361948: conf=0.95 tier=tier2_llm_selfassess ungrounded_fields=0 (28.81s)
[cohere] 66/2184 PMC2361806: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (31.33s)
[cohere] CD000031-bib-0193: include conf=0.33 tier=tier1_override OVERRIDE (33.09s)
[cohere] 67/2184 PMC2363351: conf=0.48 tier=tier1_override ungrounded_fields=1 (30.62s)
[cohere] 68/2184 PMC2363617: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (3.51s)
[cohere] 69/2184 PMC2363753: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (5.36s)
[cohere] 70/2184 PMC2364533: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (3.81s)
[cohere] 71/2184 PMC2364538: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (3.87s)
[cohere] CD000031-bib-0194: include conf=0.33 tier=tier1_override OVERRIDE (5.62s)
[cohere] 72/2184 PMC2364680: conf=0.95 tier=tier2_llm_selfassess ungrounded_fields=0 (3.78s)
[cohere] 73/2184 PMC2366143: conf=0.95 tier=tier2_llm_selfassess ungrounded_fields=0 (5.1s)
[cohere] CD000031-bib-0198: include conf=0.33 tier=tier1_override OVERRIDE (5.13s)
[cohere] 74/2184 PMC2375236: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (5.89s)
[cohere] CD000031-bib-0203: include conf=0.33 tier=tier1_override OVERRIDE (3.79s)
[cohere] 75/2184 PMC2376383: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (4.75s)
[cohere] 76/2184 PMC2375877: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (6.34s)
[cohere] 77/2184 PMC2409349: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (4.58s)
[cohere] CD000031-bib-0210: include conf=0.33 tier=tier1_override OVERRIDE (4.51s)
[cohere] 78/2184 PMC2409647: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (5.66s)
[cohere] 79/2184 PMC2427034: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (6.33s)
[cohere] CD000031-bib-0191: include conf=0.33 tier=tier1_override OVERRIDE (55.1s)
[cohere] 80/2184 PMC2429977: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (5.48s)
[cohere] CD000031-bib-0213: exclude conf=0.33 tier=tier1_override OVERRIDE (5.22s)
[cohere] 81/2184 PMC2442760: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (3.83s)
[cohere] CD000031-bib-0214: include conf=0.33 tier=tier1_override OVERRIDE (4.56s)
[cohere] 82/2184 PMC2430617: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (5.28s)
[cohere] 83/2184 PMC2430614: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (8.08s)
[cohere] CD000031-bib-0219: include conf=0.33 tier=tier1_override OVERRIDE (5.78s)
[cohere] CD000031-bib-0222: include conf=0.33 tier=tier1_override OVERRIDE (4.61s)
[cohere] 84/2184 PMC2447617: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (4.28s)
[cohere] 85/2184 PMC2442830: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (7.62s)
[cohere] 86/2184 PMC2447849: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (6.82s)
[cohere] CD000031-bib-0172: include conf=0.25 tier=tier1_override OVERRIDE (98.68s)
[cohere] CD000031-bib-0228: include conf=0.33 tier=tier1_override OVERRIDE (5.43s)
[cohere] CD000031-bib-0224: include conf=0.33 tier=tier1_override OVERRIDE (6.29s)
[cohere] 87/2184 PMC2464595: conf=0.95 tier=tier2_llm_selfassess ungrounded_fields=0 (5.64s)
[cohere] 88/2184 PMC2474851: conf=0.95 tier=tier2_llm_selfassess ungrounded_fields=0 (6.05s)
[cohere] CD000031-bib-0229: include conf=0.33 tier=tier1_override OVERRIDE (5.67s)
[cohere] 89/2184 PMC2500197: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (6.65s)
[cohere] CD000031-bib-0230: include conf=0.33 tier=tier1_override OVERRIDE (6.14s)
[cohere] 90/2184 PMC2517154: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (16.32s)
[cohere] 91/2184 PMC2503659: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (20.47s)
[cohere] CD000031-bib-0243: include conf=0.33 tier=tier1_override OVERRIDE (19.08s)
[cohere] CD000031-bib-0247: include conf=0.33 tier=tier1_override OVERRIDE (19.97s)
[cohere] 92/2184 PMC2527839: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (5.01s)
[cohere] 93/2184 PMC2500257: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (28.44s)
[cohere] CD000031-bib-0242: include conf=0.33 tier=tier1_override OVERRIDE (28.58s)
[cohere] 94/2184 PMC2570683: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (7.88s)
[cohere] CD000031-bib-0250: include conf=0.33 tier=tier1_override OVERRIDE (8.5s)
[cohere] 95/2184 PMC2571050: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (6.56s)
[cohere] CD000031-bib-0255: include conf=0.33 tier=tier1_override OVERRIDE (8.39s)
[cohere] CD000031-bib-0257: include conf=0.33 tier=tier1_override OVERRIDE (6.03s)
[cohere] 96/2184 PMC2575601: conf=0.48 tier=tier1_override ungrounded_fields=0 (7.53s)
[cohere] CD000031-bib-0264: include conf=0.33 tier=tier1_override OVERRIDE (5.33s)
[cohere] 97/2184 PMC2581757: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (7.18s)
[cohere] 98/2184 PMC2584124: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (6.24s)
[cohere] CD000031-bib-0265: include conf=0.33 tier=tier1_override OVERRIDE (5.53s)
[cohere] 99/2184 PMC2602945: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (4.18s)
[cohere] 100/2184 PMC2600646: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (6.77s)
[cohere] CD000031-bib-0267: include conf=0.33 tier=tier1_override OVERRIDE (9.29s)
[cohere] CD000031-bib-0271: include conf=0.42 tier=tier1_override OVERRIDE (5.86s)
[cohere] CD000031-bib-0274: include conf=0.33 tier=tier1_override OVERRIDE (5.61s)
[cohere] 101/2184 PMC2627861: conf=0.95 tier=tier2_llm_selfassess ungrounded_fields=0 (4.87s)
[cohere] CD000031-bib-0276: include conf=0.33 tier=tier1_override OVERRIDE (4.73s)
[cohere] 102/2184 PMC2613135: conf=0.5 tier=tier2_llm_selfassess ungrounded_fields=1 (6.39s)
[cohere] CD000031-bib-0280: include conf=0.42 tier=tier1_override OVERRIDE (3.79s)
[cohere] CD000031-bib-0278: include conf=0.33 tier=tier1_override OVERRIDE (7.83s)
[cohere] 103/2184 PMC2630316: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (5.44s)
[cohere] 104/2184 PMC2639329: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (5.13s)
[cohere] 105/2184 PMC2607225: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (15.71s)
[cohere] CD000031-bib-0285: include conf=0.33 tier=tier1_override OVERRIDE (7.05s)
[cohere] CD000031-bib-0289: include conf=0.33 tier=tier1_override OVERRIDE (5.22s)
[cohere] CD000031-bib-0290: exclude conf=0.33 tier=tier1_override OVERRIDE (4.54s)
[cohere] 106/2184 PMC2644279: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (6.4s)
[cohere] 107/2184 PMC2639700: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (7.25s)
[cohere] 108/2184 PMC2644667: conf=0.48 tier=tier1_override ungrounded_fields=0 (6.04s)
[cohere] CD000031-bib-0291: include conf=0.33 tier=tier1_override OVERRIDE (4.8s)
[cohere] CD000031-bib-0286: include conf=0.33 tier=tier1_override OVERRIDE (14.3s)
[cohere] 109/2184 PMC2650591: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (4.87s)
[cohere] 110/2184 PMC2645358: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (6.21s)
[cohere] 111/2184 PMC2652457: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (17.77s)
[cohere] 112/2184 PMC2656477: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (16.9s)
[cohere] 113/2184 PMC2660282: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (6.72s)
[cohere] 114/2184 PMC2662857: conf=0.95 tier=tier2_llm_selfassess ungrounded_fields=0 (7.12s)
[cohere] CD000031-bib-0316: include conf=0.33 tier=tier1_override OVERRIDE (28.89s)
[cohere] 115/2184 PMC2650992: conf=0.95 tier=tier2_llm_selfassess ungrounded_fields=0 (29.54s)
[cohere] CD000031-bib-0314: include conf=0.25 tier=tier1_override OVERRIDE (32.15s)
[cohere] CD000031-bib-0320: include conf=0.42 tier=tier1_override OVERRIDE (29.3s)
[cohere] 116/2184 PMC2671107: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (4.48s)
[cohere] CD000031-bib-0326: exclude conf=0.25 tier=tier1_override OVERRIDE (4.53s)
[cohere] 117/2184 PMC2674549: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (8.0s)
[cohere] CD000031-bib-0340: include conf=0.33 tier=tier1_override OVERRIDE (6.47s)
[cohere] CD000031-bib-0321: include conf=0.33 tier=tier1_override OVERRIDE (8.88s)
[cohere] 118/2184 PMC2671648: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (10.34s)
[cohere] 119/2184 PMC2678276: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (6.79s)
[cohere] CD000031-bib-0342: exclude conf=0.33 tier=tier1_override OVERRIDE (4.97s)
[cohere] 120/2184 PMC2681019: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (4.42s)
[cohere] 121/2184 PMC2680972: conf=0.48 tier=tier1_override ungrounded_fields=0 (6.31s)
[cohere] CD000031-bib-0360: include conf=0.33 tier=tier1_override OVERRIDE (4.2s)
[cohere] CD000031-bib-0351: include conf=0.33 tier=tier1_override OVERRIDE (6.5s)
[cohere] 122/2184 PMC2686715: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (5.39s)
[cohere] CD000031-bib-0346: include conf=0.33 tier=tier1_override OVERRIDE (7.49s)
[cohere] 123/2184 PMC2688140: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (4.37s)
[cohere] 124/2184 PMC2687939: conf=0.48 tier=tier1_override ungrounded_fields=0 (5.0s)
[cohere] 125/2184 PMC2689169: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (4.06s)
[cohere] CD000031-bib-0379: exclude conf=0.17 tier=tier1_override OVERRIDE (6.78s)
[cohere] 126/2184 PMC2690844: conf=0.95 tier=tier2_llm_selfassess ungrounded_fields=0 (4.6s)
[cohere] 127/2184 PMC2691927: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (4.65s)
[cohere] CD000031-bib-0386: include conf=0.33 tier=tier1_override OVERRIDE (3.5s)
[cohere] 128/2184 PMC2694465: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (4.54s)
[cohere] 129/2184 PMC2694359: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (4.88s)
[cohere] CD000031-bib-0387: exclude conf=0.42 tier=tier1_override OVERRIDE (5.7s)
[cohere] 130/2184 PMC2699080: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (4.2s)
[cohere] 131/2184 PMC270000: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (5.25s)
[cohere] CD000031-bib-0404: include conf=0.33 tier=tier1_override OVERRIDE (4.94s)
[cohere] 132/2184 PMC270049: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (5.89s)
[cohere] 133/2184 PMC2703617: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (5.47s)
[cohere] CD000031-bib-0369: include conf=0.33 tier=tier1_override OVERRIDE (24.78s)
[cohere] CD000031-bib-0374: include conf=0.33 tier=tier1_override OVERRIDE (24.93s)
[cohere] 134/2184 PMC2689497: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (23.91s)
[cohere] 135/2184 PMC2713840: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (8.6s)
[cohere] CD000031-bib-0412: include conf=0.42 tier=tier1_override OVERRIDE (15.96s)
[cohere] 136/2184 PMC2714198: conf=0.95 tier=tier2_llm_selfassess ungrounded_fields=0 (5.05s)
